smiles,fluor
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,1
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0
BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,0
BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,0
BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,0
BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,0
BrC1=CN(C(C=C1)=N/2)[B-](OC)(OC)[N+]2=C(C)\C,1
C/[N+](C)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C(C=CC4=C5C=CC(O)=C4)=C5OC2=C\1,0
C/[N+](C)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C(C=CC4=C5C=CC(O)=C4)=C5OC2=C\1,0
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=C4C=CC=C3)=C(C=CC=C5)C5=C4N(C6=CC=CC=C6)C7=CC=CC=C7,0
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=C4C=CC=C3)=C(C=CC=C5)C5=C4N(C6=CC=CC=C6)C7=CC=CC=C7,0
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=C4C=CC=C3)=C(C=CC=C5)C5=C4N(C6=CC=CC=C6)C7=CC=CC=C7,0
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=C4C=CC=C3)=C(C=CC=C5)C5=C4N(C6=CC=CC=C6)C7=CC=CC=C7,0
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C7=C3C=CC=C7,1
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C7=C3C=CC=C7,1
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C7=C3C=CC=C7,1
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(C(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C7=C3C=CC=C7,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=CC=C1,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=CC=C1,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=CC=C1,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=CC(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)=C1,1
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=CC(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)=C1,1
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=CC(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)=C1,1
C1(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=NC=CC5=C1C=CC=C5,0
C1(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=NC=CC5=C1C=CC=C5,0
C1(/C=C\C2=CC=C(C=C3)C4=C2C=CC5=CC=CC3=C45)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0
C1(/C=C\C2=CC=C(C=C3)C4=C2C=CC5=CC=CC3=C45)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0
C1(/C=C\C2=CC=C(C=C3)C4=C2C=CC5=CC=CC3=C45)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0
C1(C#CC(C=C2)=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C(C5=C1C=CC=C5)[P+](C6=CC=CC=C6)(C7=CC=CC=C7)CCC[P+](C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)(C%11=CC=CC=C%11)C%12=CC=CC=C%12,1
C1(C#CC(C=C2)=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C(C5=C1C=CC=C5)[P+](C6=CC=CC=C6)(C7=CC=CC=C7)CCC[P+](C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)(C%11=CC=CC=C%11)C%12=CC=CC=C%12,0
C1(C#CC(C=C2)=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C(C5=C1C=CC=C5)[P+](C6=CC=CC=C6)(C7=CC=CC=C7)CCC[P+](C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)(C%11=CC=CC=C%11)C%12=CC=CC=C%12,0
